"scenario","model_label","quantity","region","year","q025","q10","q25","q50","q75","q90","q975","n_runs"
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1986,0.567137123458827,0.626326270977192,0.716394398884304,0.768375036469901,0.81153150756503,0.908527301640056,0.945005323317254,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1986,-0.627347152453712,-0.397139451552162,-0.261950297977428,-0.15747928897913,-0.114677205613427,-0.0344432833099242,0.0341080568992202,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1986,-0.825443769742471,-0.771031477881491,-0.751022808723351,-0.635718751606375,-0.617213579997322,-0.486912415930869,-0.439630406427262,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1986,-0.310790768090864,-0.197104007006696,-0.15112358596742,0.00384547615543326,0.136932284104462,0.210924218222266,0.296283492264709,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1987,-0.292998202315501,-0.259004402916151,-0.194710409070712,-0.163125191092111,-0.125873433560567,-0.0847943788618597,-0.0553958824786019,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1987,-1.40733632212346,-1.30507508118381,-1.28158010346711,-1.1308949700841,-0.946090138018804,-0.803212550811436,-0.795317810762447,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1987,-0.123987257769992,-0.0517093475542913,0.0176697129257853,0.127527519050711,0.165755310572703,0.186856692580758,0.230562767834385,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1987,-0.546323652250517,-0.351717246412228,-0.289657195263437,-0.189261868941148,-0.0935668435185929,-0.0152222840772491,0.00821078667794268,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1987,-1.39033277912886,-1.35360553636123,-0.98400804904776,-0.871576316456544,-0.79816430585364,-0.760048109708734,-0.728215365710111,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1988,-0.313830815960969,-0.284979972725452,-0.142106722079056,-0.078720221677202,-0.0483484894284133,-3.17662934890156e-05,0.0152364543638516,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1988,0.0628173894934098,0.0876613004636896,0.135796258745242,0.219613216824,0.319736562915385,0.350090546789172,0.384539792436483,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1988,-0.683087472325266,-0.615931032704704,-0.546470244100294,-0.517877729309579,-0.491058717100565,-0.46936152792858,-0.40724877518299,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1988,-0.516002080308688,-0.481500814921264,-0.42861770365274,-0.377233562729704,-0.283080796450916,-0.197775883163703,-0.166170896599192,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1988,-0.0157443074441066,0.0522187920863678,0.18250915759991,0.274571040051074,0.325511425540327,0.504008997187788,0.625072268337559,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1989,-0.84638941417409,-0.740196501875684,-0.63250619719237,-0.564584438656672,-0.381526782238363,-0.246681205729701,-0.206123299689191,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1989,0.00166678832211585,0.0804536083317361,0.222252342237735,0.37375925552001,0.431586964027932,0.474705472998019,0.479905446575376,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1989,-1.42588124872271,-1.41972675690023,-1.37570860938024,-1.21502198872966,-1.08407119441547,-0.157861542483445,-0.14874065379153,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1989,-0.525421938676055,-0.436053228346789,-0.430889505266424,-0.386214573915102,-0.365777996605422,-0.00334353487249787,0.0438823505688684,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1989,0.34570430378952,0.354878418144176,0.381609494535987,0.555707304639765,0.76734678254863,0.820175660371154,1.15527419569803,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1990,-0.592634189893022,-0.574009324939162,-0.539697146447752,-0.415599353355359,-0.344470485209222,-0.144513502551113,-0.0815394547394572,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1990,-0.741134908827898,-0.706076905642388,-0.51968296043131,-0.461649689770112,-0.429855526231065,-0.347044197137744,-0.219507184537564,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1990,-1.04556530711969,-1.00260330539485,-0.940898180812438,-0.812583944134797,-0.654180871169133,-0.575929101832412,-0.532089183989471,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1990,-0.638705269297389,-0.565875244733762,-0.472974345748523,-0.390436770309632,-0.308951557792198,-0.225047342764169,-0.212028649583165,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1990,0.201771492659933,0.212748140415866,0.364460878050402,0.43521261645343,0.465585026208641,0.524436322718024,0.531222810543643,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1991,-1.77360165241251,-1.67255115215431,-1.61455962918384,-1.54644179200259,-1.44126046444746,-1.31529139707923,-0.971490472177306,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1991,-0.52897085811069,-0.511432033325131,-0.310436784617339,-0.16220734100736,0.0416777068220415,0.0936065699397895,0.197912526616072,25
