"year","region","quantity","value","scenario","model_label","run","seed","is_reference","is_base_fit_reference","display_label"
1988,"Region 4","Regional depletion",0.502500947953245,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1988,"Region 5","Regional depletion",0.645801742527436,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1989,"Region 1","Regional depletion",0.479843060323688,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1989,"Region 2","Regional depletion",0.464996041171813,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1989,"Region 3","Regional depletion",0.503375168758438,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1989,"Region 4","Regional depletion",0.508210745784588,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1989,"Region 5","Regional depletion",0.622333461686561,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1990,"Region 1","Regional depletion",0.485643757308042,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1990,"Region 2","Regional depletion",0.454441130894951,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1990,"Region 3","Regional depletion",0.476170093979715,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1990,"Region 4","Regional depletion",0.521161367505637,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1990,"Region 5","Regional depletion",0.62488849772238,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1991,"Region 1","Regional depletion",0.484277089146046,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1991,"Region 2","Regional depletion",0.432375502586692,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1991,"Region 3","Regional depletion",0.463672804710009,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1991,"Region 4","Regional depletion",0.51419029484395,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1991,"Region 5","Regional depletion",0.625072982649408,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1992,"Region 1","Regional depletion",0.474464162249366,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1992,"Region 2","Regional depletion",0.402463234073631,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1992,"Region 3","Regional depletion",0.446255996662727,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1992,"Region 4","Regional depletion",0.485289978741879,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1992,"Region 5","Regional depletion",0.625406416944581,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1993,"Region 1","Regional depletion",0.445529215679221,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1993,"Region 2","Regional depletion",0.370039264256351,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1993,"Region 3","Regional depletion",0.420303540157264,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1993,"Region 4","Regional depletion",0.450880297667665,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1993,"Region 5","Regional depletion",0.603135356389665,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1994,"Region 1","Regional depletion",0.422743247186592,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1994,"Region 2","Regional depletion",0.343085679930468,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1994,"Region 3","Regional depletion",0.393128583128583,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1994,"Region 4","Regional depletion",0.419386853575215,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1994,"Region 5","Regional depletion",0.58764075965843,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1995,"Region 1","Regional depletion",0.418544209896145,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1995,"Region 2","Regional depletion",0.31796875503717,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1995,"Region 3","Regional depletion",0.36157086363673,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
